seller_name,Count_of_favs,total_sales,total_shop_reviews,shop_rating,years_active_with_Etsy,seller_return_policy,seller_return_time,seller_shipping_time,seller_responsivess
pbClocks,"267 Admirers","485 sales","(97)","5","On Etsy since 2011","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
DefinitionVintage,"18 Admirers","24 sales","(13)","5","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","3–5 business days","within 24 hours."
Wishbringer,"428 Admirers","505 sales","(63)","5","On Etsy since 2015","I gladly accept returns and exchanges","3 days of delivery","1–3 business days","within a few hours."
lbarril,"321 Admirers","1,143 sales","(436)","4.8462","On Etsy since 2011","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
MapachoPeru,"709 Admirers","1,472 sales","(235)","4.5625","On Etsy since 2015","","","1–3 business days",""
Latelierbellelurette,"8774 Admirers","1,001 sales","(148)","4.9524","On Etsy since 2014","","","3–5 business days",""
AsFoundByUs4U,"181 Admirers","169 sales","","5","On Etsy since 2013","","","1–2 business days","within 24 hours."
ArtAndAntiquesStudio,"270 Admirers","271 sales","(74)","4.9474","On Etsy since 2017","I gladly accept returns","5 days of delivery","3–5 business days","within a few hours."
sixpencebluemoon,"1061 Admirers","2,582 sales","(869)","4.9204","On Etsy since 2009","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
86home,"29039 Admirers","1,916 sales","(499)","5","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
TheParsonsPleasures,"9493 Admirers","1,669 sales","(403)","5","On Etsy since 2013","","","","within 24 hours."
GentryAntiques,"1361 Admirers","878 sales","(238)","5","On Etsy since 2012","I gladly accept cancellations","24 hours of purchase","1–2 weeks","within a few hours."
KabulGallery,"2144 Admirers","775 sales","(132)","4.9697","On Etsy since 2015","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within 24 hours."
TheVintageAmerica,"853 Admirers","1,581 sales","(310)","4.8053","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
Vintagestopover,"110 Admirers","346 sales","","4","On Etsy since 2012","","","Instant Download","within 24 hours."
chrisaliciavintage,"1317 Admirers","1,875 sales","(402)","4.9643","On Etsy since 2014","I gladly accept returns and exchanges","14 days of delivery","1–3 business days",""
yankytreasure,"1370 Admirers","2,849 sales","(697)","4.9535","On Etsy since 2012","I gladly accept returns","7 days of delivery","1–3 business days","within a few hours."
WonderlandWarehouse,"207 Admirers","306 sales","(60)","4.96","On Etsy since 2017","I gladly accept returns and exchanges","7 days of delivery","1–3 business days","within a few hours."
